identifier,Reconciled names,"Name (Last, First)",image,BG's Nickname or Reference,Life Dates,Biographical Description
00189,Meta Harrsen,"Harrsen, Meta",,,1891-1977,"Curator (Keeper) of manuscripts at the Morgan Library"
00190,"Harvey, George","Harvey, George",,,1864-1928,"American diplomat, magazine publisher, and financier"
00191,"Harvey, Robert McCutcheon","Harvey, Robert McCutcheon",,,1892-1984,"Second husband of BG sister, Theodora"
00192,Theodora Dorothy Harvey,"Harvey, Theodora",,Teddy,1893-1965,"BG's younger sister; marries Robert Mackenzie Leveridge in 1917 (widowed); marries Robert McCutcheon Harvey"
00193,Helen Ripley Benedict,"Hastings, Helen Benedict",Mrs. Thomas Hastings.jpg,Mrs. Tom Hastings,1865-1936,"American socialite and wife of architect, Tom Hastings, partner at Carrère and Hastings"
00194,César Mange de Hauke,"Hauke, César Mange de",,,1900-1965,"Partner at Seligmann galleries in New York and director of De Hauke & Company, which dealt in modern artc"
00195,Henry Osborne Havemeyer,"Havemeyer, Henry Osborne",Henry Havemeyer.JPG,,1847-1907,"American industrialist and head of American Sugar Refining Company, among earliest American collectors of European Impressionist art"
00196,"Hawkins, Rush C.","Hawkins, Rush C.",,,1831-1920,"American Civil War general and important collector of incunabula (and paintings and printed books), whose collection was housed at the Providence, RI Annmary Brown Memorial House, which in 1948 became part of Brown University"
00197,"Hearst, William Randolph","Hearst, William Randolph",,,1863-1951,"American newspaper magnate and businessman"
00198,Paul César Helleu,"Helleu, Paul",Paul César Helleu 1903.jpg,,1859-1927,"French artist and noted society potraitst; made two chalk portraits of BG in late 1912 and early 1913"
00199,"Hendecourt, Bernard d'","Hendecourt, Bernard d'",,,1874-1928,"French vicount, art dealer, and collector"
00200,Ellwood Hendrick,"Hendrick, Ellwood",,,1861-1930,"American author and philanthopist"
00201,"Hendrick, Julia Bowen Sherwood","Hendrick, Julia Bowen Sherwood",,,1856-1947,"Wife of Peter A. Hendrick"
00202,"Hendrick, Peter Aloysius","Hendrick, Peter Aloysius",,,1859-1923,"New York Supreme Court justice (appointed 6 November 1906)"
00203,Oliver Herford,"Herford, Oliver",Oliver Brooke Herford (1863-1935) portrait.png,,1860-1935,"English writer, artist, and illustrator"
00204,"Hickox, Ralph Warner","Hickox, Ralph Warner",,,1850-1910,"President of the Hocking Valley Railway"
00205,Karl Wilhelm Hiersemann,"Hiersemann, Karl Wilhelm",Porträtfoto von Karl Wilhelm Hiersemann.jpg,,1854-1928,"Owner of publishing company in Leipzig, Germany"
00206,"Higgins, Eugene","Higgins, Eugene",,,1860-1948,"Bon vivant and sportsman; ""wealthiest bachelor in New York"""
00207,Walter Leo Hildburgh,"Hildburgh, Walter Leo",,,1876-1955,"Sometimes called ""the Egg""; American art collector and member of the Society of Antiquaries who resettled in London in 1912"
00208,Laura Coombs Hills,"Hills, Laura Coombs",Laura-Coombs-Hills-ca1899 (cropped).jpg,,1859-1952,"American miniaturist painter who painted BG's portrait (MLM AZ164)"
00209,Ernest Walter Histed,"Histed, Ernest Walter",Ernest Walter Histed - NYPL 1261119.jpg,,1862-1947,"English-American photographer"
00210,Frank Harris Hitchcock,"Hitchcock, Frank Harris",FHHitchcock.jpg,Frank Harris,1867-1935,"Chariman of the Republican National Committee (1908-1909) and then Postmaster General under President Taft (1909-1913)"
,,,"Frank Harris Hitchcock on September 26, 1911, from- Postmaster Morgan, P.M.G. Hitchcock, & Ovington LCCN2014689709 (cropped).tif",,,
00211,"Hobby, Theodore Y.","Hobby, Theodore Y.",,,1874-1958,"Curator of Benjamin Altman collection, later Associate Curator of Asian art at the Metropolitan Museum of Art"
00212,Georges Hoentschel,"Hoentschel, Georges",,,1855-1915,"French decorator and collector, whose collection JPM acquired in 1906 and eventually given to the Met"
00213,"Hofer, Philip","Hofer, Philip",,,1898-1984,"American book collector, curator, and art historian at Harvard University, founder of the Department of Prints and Graphics at Harvard University in 1938"
00214,Hutchins Hapgood,"Hapgood, Hutchins",Hutchins Hapgood.jpg,,1869-1944,"American writer and poet, friend of BB"
00215,"Holford, George","Holford, George",,Sir George,1860-1926,"British Army officer and courtier; husband of Susannah Holford"
00216,"Holford, Susannah","Holford, Susannah",,Lady Holford,1864-1943,"English socialite; Sir George was her second husband"
00217,"Holland, Henry","Holland, Henry",,,1884-1974,"English law professor at Camrbidge University"
00218,Herman C. Hoskier,"Hoskier, Herman Charles",Herman C. Hoskier.jpg,,1864-1938,"Biblical scholar and bibliographer and art collector"
00219,"Hosmer, Jack","Hosmer, Jack",,,,
00220,"Howard, Geoffrey","Howard, Geoffrey",,,1877-1935,"British Liberal politician, son of painter George James Howard"
00221,Roger Howson,"Howson, Roger",,,1882-1962,"Librarian at Columbia University"
00222,Arabella Huntington,"Huntington, Arabella",Arabella Huntington.jpg,,1850-1924,"Philanthropist and art collector; second wife of railroad magnate Collis P. Huntinthon and second wife of Henry E. Huntington; among wealthiest American women of her day"
00223,Archer Milton Huntington,"Huntington, Archer Milton",Archer Huntington.png,,1870-1955,"American collector of Spanish rare books, manuscripts, and works of art; son of Arabella Huntington"
00224,"Huntington, Henry","Huntington, Henry",,,1850-1927,"American railroad magnate and book collector; second husband of Arabella Huntington"
00225,Henri Hyvernat,"Hyvernat, Henri",Dr. Henri Hyvernat.jpg,,1858-1941,"French priest and scholar who cataloged and published J.P. Morgan's Coptic collection in 1922"
,,,Henry Hyvernat (1858–1941).png,,,
00226,Alexandre Imbert,"Imbert, Alexandre",,,1865-1943,"French art dealer"
00227,Laura Ingraham,Ingraham,Laura Ingraham (52251744763) (cropped).jpg,,,"Book collector"
00228,Theodore Irwin,"Irwin, Theodore",,,1827-1902,"American industrialist and rare book and prints collector, a large part of whose collection was purchased by J.P. Morgan in 1900"
00229,"William Ivins, Jr.","Ivins Jr., William Mills",William Ivins by Gertrude Käsebier c1910.jpg,"Billy, Billee, Mr. Wal-Dung, B.I.",1881-1961,"Founding curator of the Department of Prints at the Metropolitan Museum of Art"
00481,"Jaccaci, Mabel Thayer","Jaccaci, Mabel Thayer",,,,"Estranged wife of August Jaccaci"
00230,August F. Jaccaci,"Jaccaci, August",,,1857–1930,"French art historian and muralist, with John La Farge editor of the short-lived project, Noteworthy Paintings in Private Collections"
00231,"Jackson, Margaret","Jackson, Margaret",,,1888-1975,"American museum professional, first at the Fogg Art Museum at Harvard University and then the Minneapolis Art Museum"
00232,"James, William?","James, William?",,,1842-1910,"Professor of Philosophy and Psychology at Harvard University"
00233,"Morris Jastrow, Jr.","Jastrow, Morris",Morris Jastrow Jr 02.jpg,,1861-1921,"Polish-American librarian and scholar of Ancient Babylon and Assyria"
00234,"Jewett, Rutgers","Jewett, Rutgers",,,,"Literary advisor and head of John Lane Co. publishing house"
00235,Sarah Orne Jewett,"Jewett, Sarah Orne",Sarah Orne Jewett 7.jpg,,1849-1909,"American novelist and writer"
00236,Augustus John,"John, Augustus Edwin",Augustus John by George Charles Beresford (1902) (NPG x13487).jpg,,1878-1961,"Welsh painter, draughtsman, and etcher"
00237,"Johns, Agnes Sophia Griffith","Johns, Agnes Sophia Griffith",,,1859-1949,"Wife and collaborator of C.H.W. Johns"
00238,Claude Hermann Walter Johns,"Johns, Claude Hermann Walter","Claude Hermann Walter Johns, photo 1909.jpg",,1857-1920,"Master of Queens College, Cambridge, Anglican minister, and initial cataloguer of Morgan's collection of Babylonian and Assyrian tablets"
00239,"Johnstone, Lady Antoinette","Johnstone, Lady Antoinette",,Lady Johnstone,1868-1934,"One of JPM's mistresses, friend of BG; née Antoinette Pinchot; wife of Sir Alan Johnstone"
00240,"Jones, Alfred","Jones, Alfred",,,1872-1943,"British historian, antiquarian, and writer who catalogued many British collections"
00241,"Jones, Evelyn Alice Grey","Jones, Evelyn Alice Grey",,Alice,1886-1971,"Daughter of Albert Henry George Grey"
00242,Mary Cadwalader Rawle Jones,"Jones, Mary Cadwalader Rawle",Mary Cadwalader Rawle.jpg,,1850-1935,"Sister-in-law of Edith Wharton"
00243,John G. Johnson,"Johnson, John Graver",John G Johnson c1913.jpg,,1841-1917,"Philadelphia corporate lawyer and collector of Italian Renaissance painting"
00244,Ludwig Justi,"Justi, Ludwig",Rhein-fritz-bildnis-ludwig-justi-in-velhagen-und-klasings-monatshefte-jg37-1922-1923-bd02-heft07-maerz1923-s44f.jpg,,1876-1957,"German art historian and Director of the National Gallery of Berlin, 1909-1933"
00245,Otto Hermann Kahn,"Kahn, Otto Hermann",Otto H. Kahn cph.3a36594.jpg,,1867-1934,"German-American investment banker, collector, philanthropist and patron of the arts who was president and chairman of the board of directors of the Metropolitan Opera House; husband of Addie Wolff"
00246,Maurice Kann,"Kann, Maurice",,,1839-1906,"German banker and art collector, brother of Rudolphe Kann"
00247,Rodolphe Kann,"Kann, Rodolphe",Rodolphe Kann after Boldini.png,R. K.,1845-1905,"German banker and art collector, brother of Maurice Kann"
00248,Francis Kelsey,"Kelsey, Francis W.",KelseyFrancis.jpg,,1858-1927,"American professor, scholar, archaeologist, and collector of antiquities"
00249,Mitchell Kennerley,"Kennerley, Mitchell",Mitchell Kennerley (1930).jpg,,1878-1950,"American publisher, editor, and gallery owner"
00250,Henry Watson Kent,"Kent, Henry Watson",,,1866-1948,"American librarian at the Grolier Club (1900-1903) and then as an administrator at the Metropolitan (1905-1940), after having been considered for BG's position as Assistant Librarian for JPM"
00251,Kathryn Kidder,"Kidder, Kathryn",Kathryn Kidder photo.jpg,,1868-1939,"American actress and wife of Louis Anspacher"
00252,"King, Charles W.","King, Charles W.",,,1849-1920,"J.P. Morgan's Secretary"
00253,Unidentified,Unidentified,,,,
00254,"Knecht, Marcel","Knecht, Marcel",,,,"French politician, editor of Le Matin, and director of the French Information Bureau"
00255,Charles E. Knoblauch,"Knoblauch, Charles E.",,Charlie,1870-1934,"Broker on the New York Stock Exchange and husband of Mary Knoblauch"
00256,"Knoblauch, Mary Bookstaver","Knoblauch, Mary Bookstaver",,Mrs. Knoblauch,1875-1950,"American feminist, political activist, and editor who played essential role getting Gertrude Stein's ""word portraits"" of Matisse and Picasso published in Camera Work"
00257,Roland F. Knoedler,"Knoedler, Roland",,,1856-1932,"Son of Michel Knoedler and head of Knoedler & Co. galleries along with Charles Carstairs"
00258,Fritz Kreisler,"Kreisler, Fritz",Kreisler.jpg,,1875-1962,"Austrian-born American vioinist and composer; friend of BG"
00259,"La Farge, John","La Farge, John",,,1835-1910,"American painter, muralist, and stained-glass designer"
00260,"Laffan, Georgiana Radcliffe","Laffan, Georgiana Radcliffe",,Mrs. Laffan,-1924,"Wife of William Laffan"
00261,William MacKay Laffan,"Laffan, William Mackay",,,1848-1909,"Publisher and editor of the New York Sun, art advisor to J.P. Morgan, and author of 1907 Catalogue of J.P. Morgan's collection of Chinese porcelain"
00262,David Lamar,"Lamar, David",David Lamar circa 1919 - Enemy Activities - Arrests of Alien Enemies - Arrest of Alien Enemies in U.S.A. - NARA - 31477849 (cropped).jpg,,c. 1877-1934,"Con man and so-called ""Wolf of Wall Street"""
00263,"Lanier, Charles","Lanier, Charles",,Charlie,1837-1926,"American banker and railroad industrialist, friend of J.P. Morgan"
00264,"Laufer, Berthold","Laufer, Berthold",,,1874-1934,"German anthropologist with focus on Eastern Asia; worked at American Museum of Natural History, Columbia University, and the Field Museum in Chicago"
00265,"Lawlor, Lillie","Lawlor, Lillie",,,1868-1936,"American singer who lived in Paris"
00266,"Lawrence, Julia Cunningham","Lawrence, Julia Cunningham",,,1853-1927,"Wife of Bishop William Lawrence"
00267,"Lawrence, William","Lawrence, William",,,1850-1941,"Episcopal Bishop of Massachusetts"
00268,Lee,Lee,,,,"Man from Baltimore"
00269,"Leeds, Louise Hartshom","Leeds, Louise Hartshom",,Mrs. Warner Leeds,1867-1923,"American suffragist and wife of industrialist Warner Mifflin Leeds II who owned American Tin Plate Company"
00270,"Leveridge, Robert Mackenzie","Leveridge, Robert Mackenzie",,"Bobby, Bobbie",1919-1943,"BG's adopted nephew (Theodora Harvey's elder child) who dies while in Europe fighting in WWII"
00271,"Leveridge, Robert Mackenzie, Sr.","Leveridge, Robert Mackenzie, Sr.",,,1891-1918,"Theodora Harvey's first husband who died while fighting in WWI"
00272,Laura Jean Libbey,"Libbey, Laura Jean",Laurajeanlibbey.jpg,,1862-1924,"American writer and popular novelist"
00273,"Liggett, Anna Wardle","Liggett, Anna Wardle",,,c. 1865-1950,"Registrar and subsequent bursar of Barnard College; wife of Leigh Liggett; graduated in 1880 from Vassar, the same year as Ada Thurston"
00274,Martin W. Littleton,"Littleton, Martin W.",Martin W. Littleton 2.jpg,,1872-1934,"American lawyer who defended Kendall White in second trial for Stanford White's murder; member of House of Represenatives (1911-1913)"
00275,"Littleton, Maud Wilson","Littleton, Maud Wilson",,,-1953,"Wife of Martin W. Littleton who began campaign to preserve Monticello"
00276,Luther S. Livingston,"Livingston, Luther",Luther S. Livingston (Parker)-portrait.png,,1864-1914,"American bibliophile and scholar"
00277,William John Locke,"Locke, William John",William John Locke 001.jpg,,1863-1930,"English writer and novelist"
00278,"Lodge, Henry Cabot","Lodge, Henry Cabot",,,1850-1924,"American Republican politician and longtime Massachusetts representative in the US Senate (1893-1924)"
00279,C. T. Loo,"Loo, C.T.",CT Loo.jpg,,1880-1947,"Chinese art dealer with galleries in Paris and New York who dealt in (frequently illegally procured) Chinese art and antiquities"
00280,Lorenzetti,Lorenzetti,,,,"Assistant to BB?"
00281,Amy Lowell,"Lowell, Amy",Amy Lowell Time magazine cover 1925.jpg,,1874-1925,"Boston socialite, writer, and book collector"
00282,Rita de Acosta Lydig,"Lydig, Rita de Acosta",Boldini - Rita de Acosta Lydig.jpg,Mrs. Lydig,1875-1929,"American socialite"
00283,"Mackay, Katherine Alexander","Mackay, Katherine Alexander",,Mrs. Mackay,1878-1930,"American suffragist and socialite and wife of Clarence H. Mackay"
00284,Percy MacKaye,"Mackaye, Percy",Percy MacKaye 001.jpg,,1875-1956,"American dramatist and poet"
00285,"Manship, Paul","Manship, Paul",,,1885-1966,"American sculptor"
00286,Elisabeth Marbury,"Marbury, Elisabeth",Elisabeth Marbury LCCN2014710752 (cropped).jpg,Bessie; BM,1856-1933,"American actress, turned theater producer and partner of Elsie de Wolfe"
00287,Theodore C. Marceau,"Marceau, Theodore",Theodore C. Marceau sketch.jpg,,1859-1922,"American photographer who founded national chain of photographic studios across United States"
00288,Marie,Marie,,,,"BG's Swiss maid"
00289,"Markoe, James Wright","Markoe, James Wright",,,1862-1920,"JPM doctor, friend, and confidante"
00290,"Marks, Murray","Marks, Murray",,,1840-1918,"Dutch art dealer and collector who operated dealership in London working with Durlacher Brothers and George Salting"
00291,Julia Marlowe,"Marlowe, Julia",Juliamarlowe.jpg,,1865-1950,"English-born American actress who performed frequently with E.H. Sothern, including at the premiere of the New Theatre Company in 1909"
00292,"Martin, Frederick","Martin, Frederick",,,1883-1950,"Husband of BG's sister Mary Louise; married on 27 May 1911"
00293,Homer Dodge Martin,"Martin, Homer Dodge",Homer Dodge Martin.jpg,,1836-1897,"American landscape painter, part of Hudson River School"
00294,"Martin, Mary Louise Greener","Martin, Mary Louise Greener",,Weezie,1877-1933,"BG's sister and wife of speech therapist Frederick Martin, together they founded the Martin Institute for Speech Correction in Ithaca, New York"
00295,"Martini, Joseph","Martini, Joseph",,,,"Italian book collector and bibliographic scholar"
00296,"Martins, Charlotte","Martins, Charlotte",,Aunt Lottie,,"Princeton University Librarian (1881-1920) who became Chief of its Purchase Department, mentor of BG"
00297,Frank Jewett Mather,"Mather, Frank Jewett",,,1868-1953,"Art critic and Professor of Art History at Princeton University; Director of the Princeton Univeristy Art Museum, 1922-1946"
00298,Edith Wynne Matthison,"Matthison, Edith Wynne",Arena magazine - Volume 40 (1908) (14581934919).jpg,,1875-1955,"Anglo-American stage actress"
00299,Elsa Maxwell,"Maxwell, Elsa","Elsa Maxwell, on the Conte de Savoia, 1935.jpg",,1883-1963,"American gossip columnist, author and professional hostess"
00300,Eleanor Wilson McAdoo,"McAdoo, Eleanor Wilson","Eleanor Randolph Wilson by Harris & Ewing, cropped (LOC hec.17173).jpg",,1889-1967,"American author and youngest daughter of Woodrow Wilson; wife of William Gibbs McAdoo"
00301,"McAdoo, William Gibbs","McAdoo, William Gibbs",,,1863-1941,"American lawyer, financier, and Democratic politician, later married daughter of Woodrow Wilson, Former United States Secretary of the Treasury"
00302,"McAlpin, Charles Willston","McAlpin, Charles Willston",,,1865-1942,"Princeton graduate, friend of Junius Spencer Morgan; collector of George Washington portraits (now at NYPL)"
00303,"McAlpin, Sara Pyle","McAlpin, Sara Pyle",,,d. 1949,"American philanthropist with particular interest in early childhood care and education; wife of Charles Willston McAlpin"
00304,"McGibbon, Nina Ethel Waddock","McGibbon, Nina Ethel Waddock",,,1876-1927,"Canadian socialite; married to Douglas Lorne McGibbon"
00305,Bobby McKee,"McKee, Bobby",,Bob,,"unidentified"
00306,"Meyer-Riefstahl, Rudolph","Meyer-Riefstahl, Rudolph",,,1880-1936,"German art historian who specialized in Islamic Art and taught at NYU"
00307,"Meyer, Agnes","Meyer, Agnes",Agnes_E._Meyer.jpg,"Agoness; ""Blonde Agnes""",1887-1970,"American journalist, art collector, philanthropist, and civil rights activist"
00308,"Meyer, Eugene","Meyer, Eugene",Portrait_of_Eugene_Meyer.jpg,,1875-1959,"American finanicer and newspaper publisher who worked for Presidents Wilson, Coolidge, and Hoover, who appointed him Chariman of the Federal Reserve in 1930; husband of Agnes Meyer"
00309,"Meyer, Julius P.","Meyer, Julius P.",,,,"Offical of Hamburg-American Line of steamships"
00310,Eric Millar,"Millar, Eric",,,1887-1966,"British scholar of English illuminated manuscripts, Keeper of Manuscripts at the British Museum from 1944 on"
00311,"Mills, Beatrice","Mills, Beatrice",,,1883-1972,"American-born heiress and horse racer who became Countess of Granard through her marriage to Bernard, Earl of Granard in 1909"
00312,John Ames Mitchell,"Mitchell, John Ames",John Ames Mitchell editor.jpg,,1845-1918,"American publisher, writer, and artist; co-founder, editor, and publisher of Life magazine"
00313,"Moore, Charles","Moore, Charles",,,1855-1942,"American journalist, historian, and city planner who was a founding member of the Commision of Fine Arts in 1910 and was acting chief of the Manuscripts Division at the Library of Congress (1918-1927)"
00314,"Moore, Roland","Moore, Roland",,,1888-1962,"Dealer in Chinese art and antiquities, with a focus on snuff boxes and ceramics"
00315,Charles Rufus Morey,"Morey, Charles Rufus",,,1877-1955,"American art historian and professor in Princeton's Art History Department; founder of the Princeton Index of Medieval Art"
00316,"Morgan, Alexander Perry","Morgan, Alexander Perry",,,1900-1968,"Son of Junius Spencer Morgan, architect of alterations to the Morgan Library carried out between 1959 and 1962"
00317,"Morgan, Anne","Morgan, Anne",Anne_Tracy_Morgan.jpg,Annie; Miss Morgan,1873-1952,"Daughter of John Pierpont Morgan"
00318,"Morgan, Frances Louisa Tracy","Morgan, Frances Louisa Tracy",,,1842-1924,"American philanthropist and society matron; second wife of J. P. Morgan (m. 1865)"
00319,"Morgan, Henry Sturgis","Morgan, Henry Sturgis",,,1900-1982,"Son of Jack Morgan, co-founder of Morgan Stanley in 1935 upon passage of Glass-Steagall Act"
00320,"Morgan, J. Pierpont","Morgan, J. Pierpont",JohnPierpontMorgan.jpg,J.P.M; Big Chief; Boss; Mr. Stick; my Mr. Morgan,1837-1913,"Financier, rapacious collector of books, manuscripts, and art, whose collection forms the basis of the Morgan Library and Museum"
00321,"Morgan, J. Pierpont, Jr.","Morgan, J. Pierpont, Jr.","A.H._Wiggin_&_J.P._Morgan,_Jr._in_1917_in_Manhattan_at_a_war_bond_parade_(Cropped).jpg",Jack; Mr. Jack; Junior,1867-1943,"Only son of J.P. Morgan, banker, and founder of the Morgan Library and Museum"
00322,"Morgan, Jane Grew","Morgan, Jane Grew",,Mrs. Jack Morgan,1868-1925,"Wife of Jack Morgan"
00323,"Morgan, Josephine Adams Perry","Morgan, Josephine Adams Perry",,Josie,1869-1963,"Wife of Junius Spencer Morgan"
00324,"Morgan, Junius Spencer","Morgan, Junius Spencer",,,1867-1932,"Nephew of J.P. Morgan, bibliophile and Associate Librarian of Princeton University Library who served as unofficial advisor to his uncle and suggested BG for position of his private librarian"
00325,"Morris, William","Morris, William",,,1834-1896,"British designer, artist, and writer central to the growth of the Arts and Crafts movement in the last quarter of the nineteenth cneutry"
00326,"Morton, Johnson","Morton, Johnson",,Johnny,,
00327,"Mott, Katherine","Mott, Katherine",,,1859-1927,"Wife of Jordan Lawrence Mott Jr."
00328,Charles Fairfax Murray,"Murray, Charles Fairfax","Self-Portrait, by Charles Fairfax Murray.jpg",,1849-1919,"British artist, connoisseur, collector, and dealer, whose collection of Old Master drawings was acquired by J.P. Morgan in 1910"
00329,"Myres, John L.","Myres, John L.",,,1869-1954,"British art historian and archaeologist; Professor first at Oxford and then the University of Liverpool; author of the catalogue of the Cesnola collection of antiquities from Cyprus (1914)"
00330,"Nazarian, Madame","Nazarian, Madame",,,,"Actress"
00331,"Nichols, Marian Clarke","Nichols, Marian Clarke",,,1874-1963,"Sister of Rose Standish Nichols"
00332,Rose Standish Nichols,"Nichols, Rose Standish",1912 RoseStandishNichols byTaylorGreer.png,,1872-1960,"American landscape architect [a Rose Standish Davis attended Amherst Summer School with BG; in 1901 was at Carnegie Library, Atlanta, GA]"
00333,"O'Neil, Nance","O'Neil, Nance",,,1874-1865,"Amerian stage actress"
00334,"Oakley, Ethel Alice Greene","Oakley, Ethel Alice Greene",,,1880-1945,"BG's sister and arts teacher in public schools in Brooklyn and Manhattan; marries George Oakley on 7 July 1915 in Sea Gate"
00335,"Oakley, George","Oakley, George",,,1867-1941,"Husband of BG's sister, Ethel Alice Greener Oakley; worked for time as corn merchant"
00336,Hermann Obrist,"Obrist, Hermann","Hermann Obrist (1862–1927), Zeichner, Möbel Designer, Bildhauer.jpg",,1862-1927,"German sculptor and lover of Mary Berenson"
00337,Richard Offner,"Offner, Richard",Richard Offner.jpg,,1889-1965,"Austrian-American art historian specializing in Italian Renaissance painting"
00338,Leo Olschki,"Olschki, Leo S.",Leo Olschki publisher 2.jpg,,1861-1940,"Italian dealer in rare books and manuscripts and founder of Leo S. Olschki Editore publishing house in Florence in 1886"
00339,Henri Omont,"Omont, Henri",,,1857-1940,"French art historian and bibliographer specializing in medieval French manuscripts"
00340,"Parker, John Henry","Parker, John Henry",,,1806-1884,"English archeologist and architectural historian"
00341,"Pendleton, Charles","Pendleton, Charles",,,1846-1904,"American collector of American furniture and decorative arts; lived in Providence and donated his collection in 1904 to the Rhode Island School of Design Museum, which constructed the Charles Pendleton House (the first museum wing dedicated to the exhibition of American decorative arts) to house his collection"
00342,Harper Pennington,"Pennington, Harper","James McNeill Whistler, Harper Pennington, 1880-1882, NGA 11311 (cropped).jpg",,1853/1855-1920,"American painter who trained in Paris with Jean Leon Gérome and worked with James McNeill Whistler in Venice and London"
00343,Frederick Mason Perkins,"Perkins, Frederick Mason",Frama AssSC047 (cropped).JPG,,1874-1955,"Art historian who specialized in Sienese art and lived with other ex-patriates in Florence, collector, and sometime dealer"
00344,"Perkins, George Walbridge","Perkins, George Walbridge",,,1862-1920,"American banker and partner of Morgan"
00345,Marsden J. Perry,"Perry, Marsden J.",,,1850-1935,"American financier and electricity and streetcar magnate who lived in Providence, RI (in the former John Carter Brown House); collector of rare Shakespeare editions, many of which, after being purchased by Henry Folger, are now at the Folger Shakespeare Lirbary in Washington D.C."
00346,"Peterson, Theodore","Peterson, Theodore",,,,"Assistant to Henry Hyvernat and Professor at Catholic University who completed catalogue of Coptic bindings"
00347,"Phillips, Claude","Phillips, Claude",,,1846-1924,"British writer art critic; Keeper of Wallace Collection"
00348,"Pier, Mrs. Garrett","Pier, Mrs. Garrett",,,,"American art collector"
00349,Cecil Pinsent,"Pinsent, Cecil",,,1884-1963,"British garden designer and architect working in Tuscany in early twentieth century"
00350,"Plunkett, Edward","Plunkett, Edward",,Dunsany; Lord Dunsany,1878-1957,"Anglo-Irish writer and dramatist who published more than 90 books in the fantasy genre, under the pen name ""Lord Dunsany"""
00351,"Pollard, Alfred","Pollard, Alfred",,,1859-1944,"British bibliographer, Keeper of Printed Books at the British Museum, contributed to the Bennett catalogue"
00352,Chandler Rathfon Post,"Post, Chandler Rathfon","Chandler Rathfom Post, 1922.jpg",,1881-1959,"Art historian and Hispanicist who served as Interpreter for the American Red Cross Commission to Italy, July to September 1917"
00353,"Pratt, Frederick","Pratt, Frederick",,,,"Friend of BG, art collector"
00354,"Proctor, Robert","Proctor, Robert",,,1868-1903,"British bibliographer at British Museum, contributed to the Bennett catalogue"
00355,"Purnington, Archer","Purnington, Archer",,,1852-1926,"American writer"
00356,Bernard Alfred Quaritch,"Quaritch, Bernard Alfred",,,1870-1913,"Son of antiquarian book dealer Bernard Quaritch and head of Bernard Quaritch firm of rare books and manuscripts dealers"
00357,Édouard Rahir,"Rahir, Édouard",,,1862-1924,"French bookseller and collector"
00359,Rauch,Rauch,,,,
00360,Charles Hercules Read,"Read, Charles Hercules",Hercules Read.jpg,,1857-1929,"British bibliographer, archaeologist, and curator who served as Keeper of British and Medieaval Antiquities and Ethnography at the British Museum"
00361,"Read, Lady Charles Hercules","Read, Lady Charles Hercules",,,,"Wife of Charles Hercules Read"
00362,Salomon Reinach,"Reinach, Salomon",Salomon Reinach.jpg,,1858-1932,"French archaeologist and art historian; brother of Joseph Reinach, who defended Alfred Dreyfus"
00363,"Rembielinski, Stanislas","Rembielinski, Stanislas",,,d. July 1909,"Polish art collector"
00364,"Rey, Emile","Rey, Emile",,,,"New York partner of Jacques Seligmann"
00365,Seymour de Ricci,"Ricci, Seymour de",Seymour De Ricci photo portrait.png,,1881-1942,"English/French bibliographer and historian"
00366,Ernest Cushing Richardson,"Richardson, Ernest Cushing",Ernest Cushing Richardson ALA.jpg,,1860-1939,"American librarian and bibliographer, from 1890-1925 served as Director of Princeton University Library and Professor of Bibliography, later became consultant to Library of Congress"
00367,"Riggs, Kate Douglas Wiggin","Riggs, Kate Douglas Wiggin",,,1856-1923,"American activist and author of children's stories"
00368,George Lockhart Rives,"Rives, George L.",G.L. Rives LCCN2014700687 (cropped).jpg,,1849-1917,"America lawyer, politician, and writer who served as President of NYPL from 1914 to 1917"
00369,"Robinson, Edward","Robinson, Edward","Edward_Robinson,_1903.jpg",,1858-1931,"American art historian, museum curator, and Director of the Metropolitan Museum of Art from 1910-31"
00370,"Robinson, Elizabeth Gould","Robinson, Elizabeth Gould",,Mrs. Museum Robinson,c. 1859-1952,"Wife of Edward Robinson"
00371,"Rockefeller, John D.","Rockefeller, John D.",,Young John D.,1839-1937,"Founder of Standard Oil, business magnate"
00372,John D. Rockefeller Jr.,"Rockefeller, John D. Jr.",John D. Rockefeller Jr. cph.3a03736.jpg,,1874-1960,"American financier and philanthropist"
00373,Millicent Rogers,"Rogers, Millicent",Millicent Rogers 1919.jpg,,1902-1953,"American socialite and art collector; heiress of the fortune of tycoon Henry Huttleston Rogers of Standard Oil"
00374,"Romanov, Nicholas II","Romanov, Nicholas II",,,1894-1917,"Tsar Nicholas II of Russia; last Russian emperor"
00375,"Root, Elihu","Root, Elihu",,,1845-1937,"American lawyer and statesman and former Secretary of State under Roosevelt and former Secretary of War under McKinley"
00376,A. S. W. Rosenbach,"Rosenbach, A.S.W.",A.S. Rosenbach crop.jpg,,1876-1952,"American collector, scholar, and dealer of rare books and manuscripts"
00377,William Rothenstein,"Rothenstein, William",William Rothenstein photo by George Charles Beresford 1920.jpg,,1872-1945,"English artist, particularly celebrated as a portraitist; made chalk portrait of BG (1956.5) in 1912"
00378,Denman Ross,"Ross, Denman",Denman Ross self-portrait.png,,1853-1935,"American painter, art collector, and professor of art history at Harvard"
00379,Ada Dwyer Russell,"Russell, Ada Dwyer","Ada Dwyer Russell, 1916.jpg",,1863-1952,"American actress and longtime partner of Amy Lowell"
