Box Number,Folder Number,Date (YYYY/MM/DD),Letter_ID,I Tatti file name(s),sender,recipient,Letterhead,"Location Written (city, state)",Location Written (country),I Tatti Sheet Number(s),I Tatti Letter Number,Number of Pages,Number of Images,Notes,Accompanying Material,"Subject -- People (Last Name, First Name)",Subjects,Letters Contents,"Name of Transcriber 1 (Last Name, First Name)",Transcriber 1 Initials,Date Claimed (YYYY/MM/DD),Date Completed (YYYY/MM/DD),"Name of Transcriber 2 (Last Name, First Name)",Transcriber 2 Initials,Date Claimed (YYYY/MM/DD),Date Completed (YYYY/MM/DD),Date Finalized (YYYY/MM/DD),
60,10,1910_10_19 (first letter),00091,"32044150448447_009, 32044150448447_010, 32044150448447_011, 32044150448447_012, 32044150448447_013, 32044150448447_014, 32044150448447_015, 32044150448447_016","Greene, Belle da Costa","Berenson, Bernard","CLARIDGE'S HOTEL, BROOK STREET. W.",London,United Kingdom,364-367,,8,8,"Letterhead has coat of arms surmounting ""CLARIDGE'S""; written on Claridge's notecards rather than letter paper; ""Oct. 19, 1910"" written by BB; ""Oct. 18, 1910 1 p.m."" written by BB at top of postscript; images and I Tatti sheet numbers out of order",,"Morgan, Anne; Morgan, J. Pierpont; Williamson, Louisa Mary Lethbridge; Williamson, George C.; Castellane, Marie Ernest Paul Boniface de",British literature; fiction,"BG's hatred of George C. Williamson; R.M.S. Oceanic (ship); Laurence Sterne, A Sentimental Journey","Davis, Lauren",LD,2022/06/27,2022/06/27,"Palmer, Philip",PSP,2023/04/17,2023/04/17,2023/04/17,
60,10,1910_10_19 (second letter),00092,"32044150448447_037, 32044150448447_038, 32044150448447_039, 32044150448447_040","Greene, Belle da Costa","Berenson, Bernard","On board R.M.S. ""Oceanic""",,,378-379,,6,4,"Letterhead has a red bugee flag with a star on left of page. Second half of letter headed ""5pm."" Because Letter #93 is headed ""7pm"" and extends past October 19, it is clear this letter (#92) was written first (even though I Tatti sheet numbers would suggest the opposite).",,"Williamson, Louisa Mary Lethbridge; Seligmann, Jacques; Williamson, George C.; Morgan, Anne; Bonner; Morgan, J. Pierpont; Rey, Emile",,new vs. old BG; London; Cherbourg,"Davis, Lauren",LD,2022/06/28,2022/06/28,"Palmer, Philip",PSP,2023/04/17,2023/04/17,2023/04/17,
60,10,1910_10_19_20_23_25,00093,"32044150448447_025, 32044150448447_026, 32044150448447_027, 32044150448447_028, 32044150448447_029, 32044150448447_030, 32044150448447_031, 32044150448447_032, 32044150448447_033, 32044150448447_034, 32044150448447_035, 32044150448447_036","Greene, Belle da Costa","Berenson, Bernard","On board R.M.S. ""Oceanic""",,,372-377,,18,12,"Letterhead has a red bugee flag with a star on left of page; ""Oct. 19 – 1910"" written by BB at top of page",,"Williamson, George C.; Grant, Ethel; Altman, Benjamin; Obach, Charles; Brownson, Willard Herbert; Turner, Sara; Williamson, Louisa Mary Lethbridge; Grant, Peter Geddes; Duncan, Isadora; Calvé, Emma; Morgan, J. Pierpont; Duveen, Henry; Phillips, Claude; Duveen, Joseph; Jaccaci, August; Seligmann, Jacques; Craig, Edward Gordon; Smith, Marguerite Alice Hélène; Mayer, Gustav; Gardner, Isabella Stewart; Gerald; Brodribb, John Henry; Morgan, Anne; Ditson, Alice M.; Terry, Ellen",British art; British literature; Dutch art; Italian art; acquisitions; music,"Cherbourg; Italy; widespread disapproval or lack of understanding of BG's desire not to marry unless for money; BG and BB's admiration of Mary; BG clothing; BB gift; Paris; Florence; Ellen Terry's desire for BG and Edward Gordon Craig to marry; BG's admiration for Terry's life; George Bernard Shaw correspondence with Ellen Terry; Oscar Wilde; Edward Burne-Jones; William Holman Hunt; BG's dislike of Anne Morgan; sale of Rembrandt etching to Obach & Co.; Fra Filippo Lippi drawing; Metropolitan Opera Company; Carmen; Thaïs; Salome; English navy; Cincinnati; ""Topic No. 2""; Hadrian's Villa","Davis, Lauren",LD,2022/06/27,2022/06/28,"Palmer, Philip",PSP,2023/04/17,2023/04/17,2023/04/17,
60,10,1910_10_20,00094,"32044150448447_062, 32044150448447_063, 32044150448447_064","Greene, Belle da Costa","Berenson, Bernard",,,,,,3,3,telegram,,,,,"Palmer, Philip",PSP,2023/04/18,2023/04/18,"Palmer, Philip",PSP,2023/04/18,2023/04/18,2023/04/18,
60,10,1910_10_25,00095,"32044150448447_041, 32044150448447_042, 32044150448447_043","Greene, Belle da Costa","Berenson, Mary","On board R.M.S. ""Oceanic""",,,380-381,,5,3,Letterhead has a red bugee flag with a star on left of page,,"Morgan, J. Pierpont; Berenson, Senda",music,train strike; Mary Berenson's recent illness; Villa I Tatti; Madrid; Peter Ibbetson (opera),"Davis, Lauren",LD,2022/06/29,2022/06/29,"Palmer, Philip",PSP,2023/04/19,2023/04/19,2023/04/19,
60,10,1910_10_28,00096,"32044150448447_044, 32044150448447_045, 32044150448447_046, 32044150448447_047","Greene, Belle da Costa","Berenson, Bernard",BELLE,,,382-385,,8,4,"""1910"" written by BB",,"Morgan, Anne; Morgan, J. Pierpont",Italian art,BB gifts; American Consul; Customs House; F.A.C. acronym in reference to BB; pictures of BG with Anne Morgan in newspapers; motoring,"Davis, Lauren",LD,2022/06/29,2022/06/29,"Palmer, Philip",PSP,2023/05/01,2023/05/01,2023/05/01,
60,10,1910_10_29,00097,"32044150448447_048, 32044150448447_049, 32044150448447_050, 32044150448447_051, 32044150448447_052, 32044150448447_053, 32044150448447_054, 32044150448447_055, 32044150448447_056, 32044150448447_057, 32044150448447_058, 32044150448447_059, 32044150448447_060, 32044150448447_061","Greene, Belle da Costa","Berenson, Bernard",BELLE,,,386-399,,27,14,"""1910"" written by BB",Originally enclosed letter from Philip Mesier Lydig,"Gary, Mr. and Mrs. ; Duveen, Henry; Williamson, George C.; Duveen, Joseph; Morgan, J. Pierpont; Seligmann, Jacques; Read, Charles Hercules; Quaritch, Bernard Alfred; Bing, Marcel; Williamson, Louisa Mary Lethbridge; Doucet, Jacques; Stanchfield, John Barry; Altman, Benjamin; Lydig, Philip Mesier; Morgan, Anne; Frick, Henry Clay; Murray, Charles Fairfax; Berenson, Mary; Havemeyer, Henry Osborne",Italian art; British art; acquisitions; race and ethnicity; cultural institutions; private collections,"Tuxedo, NY; Duveen matters; London; Paris; JPM's railroad interests; Customs House; seized painting and box; BG tricking customs agent; Riccio bronze bell; manuscripts; London watch for JPM; BG clothing; gold box containing pencils, penknife, and ruler made of gold; Aviation meet at Belmont Park; Colony Club; fake John Milton miniature; jewelry; South Kensington Museum (Victoria & Albert Museum); Bartolo di Fredi; monographs on Babylonian and Assyrian objects in JPM's collection; photographs of miniatures owned by JPM; catalogue of JPM's bronzes; BG sending BB grapefruit; Villa I Tatti; Benvenuto di Giovanni's Assumption of the Virgin with Saint Thomas receiving the Girdle between Saints Francis of Assisi and Anthony of Padua; Metropolitan Museum of Art; Convent of Grancia, Grosseto; Raphael Workshop, Madonna di Loreto (AZ 139); Metropolitan Museum exhibition of oriental rugs; Altman Collection; Frick Collection; Havemeyer Collection; Ravenna; Claridges Hotel","Davis, Lauren",LD,2022/06/29,2022/06/30,"Palmer, Philip",PSP,2023/05/01,2023/05/01,2023/05/01,
60,11,1910_11_03,00098,"32044150448454_001, 32044150448454_002, 32044150448454_003","Greene, Belle da Costa","Berenson, Bernard",MR. MORGAN'S LIBRARY NEW YORK,"New York, NY",United States,402-403,,5,3,"""1910"" written by BB",Originally enclosed writing paper samples,"Robinson, Edward; Morgan, J. Pierpont",politics; music; cultural institutions,opera; New Theatre; museum exhibition; Metropolitan Museum of Art; Franklin Delano Roosevelt's early political career; John Alden Dix as Democratic nominee for New York Governor; writing paper samples,"Davis, Lauren",LD,2022/06/30,2022/06/30,"Palmer, Philip",PSP,2023/05/02,2023/05/02,2023/05/02,
60,11,1910_11_04,00099,"32044150448454_004, 32044150448454_005, 32044150448454_006, 32044150448454_007, 32044150448454_008, 32044150448454_009, 32044150448454_010, 32044150448454_011","Greene, Belle da Costa","Berenson, Bernard",BELLE,,,404-411,,16,8,"""1910"" written by BB",,"Duveen, Joseph; Glaenzer, Eugene; Daikins, Dr.; Harrison, Ethel; Amedeo, Prince; Grant, Peter Geddes; Grant, Ethel; Ogle, Mrs. ",,"Mauretania (ship); Villa Floridiana, Naples; Colony Club; business in Italy and Paris","Davis, Lauren",LD,2022/06/30,2022/07/01,"Palmer, Philip",PSP,2023/05/02,2023/05/02,2023/05/02,
60,11,1910_11_08,00100,"32044150448454_012, 32044150448454_013, 32044150448454_014, 32044150448454_015, 32044150448454_016, 32044150448454_017, 32044150448454_018","Greene, Belle da Costa","Berenson, Bernard",BELLE,,,412-418,,13,7,"""1910"" written by BB",,"Blumenthal, Florence Meyer; Blumenthal, George; Lanier, Charles; Glaenzer, Eugene; Williamson, George C.; Ryan, John Barry; Lennox, Lady Blanche Algernon Gordon; Read, Charles Hercules; Ryan, Thomas Fortune; Warwick",cultural institutions; music; politics,Metropolitan Museum of Art; Colony Club; Victor Herbert opera; received BB's letter by boat Mauretania; John Alden Dix and Franklin Delano Roosevelt; Florence; ,"Davis, Lauren",LD,2022/07/06,2022/07/06,"Palmer, Philip",PSP,2023/05/03,2023/05/03,2023/05/03,
60,11,1910_11_11,00101,"32044150448454_019, 32044150448454_020, 32044150448454_021, 32044150448454_022, 32044150448454_023, 32044150448454_024, 32044150448454_025, 32044150448454_026, 32044150448454_027, 32044150448454_028, 32044150448454_029, 32044150448454_030, 32044150448454_031, 32044150448454_032","Greene, Belle da Costa","Berenson, Bernard",BELLE,,,419-431,,27,14,"""Nov. 11, 1910"" written in pencil in an unknown hand (correcting ""Nov. 17, 1910"" written in same hand). Page 25 has ink note in BB's hand in upper margin, referring to the postscript on this page of the letter: ""to Friday Nov. 10, 1910""",,"Grant, Peter Geddes; Grant, Ethel; Harrison, Ethel; Doucet, Jacques; Quaritch, Bernard Alfred; Laborde, Léon-Joseph-Alexandre de; Durrieu, Paul; Thompson, Henry Yates; Read, Charles Hercules; Strong, Eugénie Sellers; Cavendish, Victor; Cavendish, Evelyn Emily Mary; Morgan, J. Pierpont; Hastings, Thomas; Hastings, Helen Benedict; Hickox, Annie Stager; Clarke, Mrs.; Thurston, Ada; Baca-Flor, Carlos; Choate, Joseph Hodges; Robinson, Edward; Hamilton, Juliet Morgan; Prince, John Dyneley; Prince, Adeline E. Loomis; Richlieu; Lesseps, Jacques de; Morgan, Anne; Sylva, Marguerite; Murray, Charles Fairfax; Blumenthal, George; Seligmann, Jacques; Duveen, Joseph; Rey, Emile; Davis, Mr.; De Groot, Cornelis Hofstede",acquisitions; politics; Chinese art; library work; European art; BG's fashion; art dealing; Dutch art; private collections; Medieval and Renaissance manuscripts; scholarship; library work; BG's social world,"rumors about BB and BG; BB's illness; Jacques Doucet's art collection; Societé Francais de Reproductions de Mss. a Peintures; Mariano Fortuny items; Milan fire; Gubernatorial Election returns; Roosevelt likely out of running for Presidential Election; Woodrow Wilson likely success; Lusitania (ship); mother-like love for Charles Hercules Read; Duke and Duchess of Devonshire; JPM's mistresses; Colony Club lunch with Lady Johnstone; closing library to public while Thurston and JPM are away; Robinson elected as director; Baca-Flor's portrait of Choate, ""greatest thing that has been done since Velasquez""; BG slapped by BB; express strike; grapefruit for BB; Murray drawings catalogues; Seligmann-Duveen matter; Lorraine (ship); trouble over Rembrandt returned to Davis in London","Davis, Lauren",LD,2022/07/11,2022/07/11,"Palmer, Philip",PSP,2023/10/12,2023/10/12,2023/10/12,
60,11,1910_11_17,00102,"32044150448454_033, 32044150448454_034, 32044150448454_035, 32044150448454_036, 32044150448454_037, 32044150448454_038, 32044150448454_039, 32044150448454_040, 32044150448454_041, 32044150448454_042, 32044150448454_043","Greene, Belle da Costa","Berenson, Bernard",BELLE,,,432-442,,22,11,"""1910"" written by BB",,"Agnew, William Lockett",race and ethnicity; cultural institutions; art dealing; current events,Annie's illness and leg pain; telling Florence Blumenthal about Italy trip; theories that Florence runs Rey & Seligmann and tells George what to do; lots of evidence against Duveen; Read on Lusitania; plans to go to Spain with Read; trip with BB to Spain; Cintra; Siena; Johnson elected Metropolitan trustee; BB health,"Davis, Lauren",LD,2022/07/12,2022/07/12,"Palmer, Philip",PSP,2023/10/16,2023/10/16,2023/10/16,
60,11,1910_11_22,00103,"32044150448454_044, 32044150448454_045, 32044150448454_046, 32044150448454_047, 32044150448454_048, 32044150448454_049, 32044150448454_050, 32044150448454_051, 32044150448454_052, 32044150448454_053, 32044150448454_054, 32044150448454_055, 32044150448454_056, 32044150448454_057, 32044150448454_058","Greene, Belle da Costa","Berenson, Bernard",BELLE,,,443-457,,30,15,""", 1910"" written by BB",,"Baca-Flor, Carlos; Lanier, Charles; Mrs. Baldwin; Rey, Emile; Duveen, Joseph; Warren, Lloyd; Perkins, George Walbridge; Cortelyou, George B. ; de Jonghe, Mrs.; Anspacher, Louis; Sylva, Marguerite; Ditson, Alice M.; Morgan, J. Pierpont; Worth, Jean-Philippe; Marie; Cosgrave, John O'Hara; Dodge, Cleveland Hoadley; Dickinson, Martha Overton; de Jonghe, Mr.; Berenson, Mary; Hinds, Lilly Morris ; Wierzbicki, Vincent de; Dodge, Grace Wainright Parish; Ryan, Thomas Fortune; Hitchcock, Frank Harris; Dickinson, Jacob M.; Seligmann, Jacques; Lennox, Lady Blanche Algernon Gordon; Dixon, George Arthur; Kobbé, Gustav",Italian art; race and ethnicity; sculpture; literature; BG's leisure activities; art dealing; BG's art collection; BG's fashion; images of BG,"BB letter from Milan; grapefruit for BB; Charles & Co. shipping; desire for Seligmann and BB to be friends; Customs House and Duveen matters; Piero della Francesca; New Haven trip; Harvard vs Yale game; box from BB; bought Marie a ticket to go home to Switzerland; diamond ornament for Marie upon her leaving; Marie's loyalty; terrible English maid; ""grand southern blood"" of Genevieve Greene; New Theatre; Anspacher's new play A Woman of Impulse; Kennedy's The Servant in the House; little Donatello bronze; Baldwin speaking French; translucent enamel chasse of IXth c.; Piero; Kobbé's The Pianolist; Worth gown for Baca-Flor portrait; express strike; Venice; Orvieto; Arezzo; Bellini Pieta card","Davis, Lauren",LD,2022/07/12,2022/07/13,"Palmer, Philip",PSP,2023/10/18,2023/10/18,2023/10/18,
60,12,1910_12_13,00104,"32044150448462_001, 32044150448462_002, 32044150448462_003, 32044150448462_004, 32044150448462_005, 32044150448462_006, 32044150448462_007","Greene, Belle da Costa","Berenson, Bernard",BELLE,,,458-464,,14,7,"""1910"" written by BB",,"Canessa, Ercole; Morgan, J. Pierpont; Johnstone, Lady Antoinette; Annie (BG's childhood maid); Rey, Emile; Blumenthal, Florence Meyer; Duveen, Henry; Huntington, Archer Milton; Trotti, René Avogli",race and ethnicity; acquisitions; paintings; Italian art; music,"Annie's death; Umbrian Catalogue of the Burlington; Giacomo Puccini's The Girl of the Golden West premiere; Florence Blumenthal's crush on BG; Rey leaving for Paris; dislike of Trotti; Syracuse coin c. 400 BC in the style of Kimon, badly mounted by Canessa; Mauretania; Christmas","Davis, Lauren",LD,2022/07/13,2022/07/18,"Palmer, Philip",PSP,2023/10/20,2023/10/20,2023/10/20,
60,12,1910_12_20,00105,"32044150448462_008, 32044150448462_009, 32044150448462_010, 32044150448462_011, 32044150448462_012, 32044150448462_013, 32044150448462_014, 32044150448462_015, 32044150448462_016, 32044150448462_017, 32044150448462_018","Greene, Belle da Costa","Berenson, Bernard",BELLE,,,465-475,,22,11,"""1910"" written by BB",,"Choate, Joseph Hodges; Bigelow, John; Harrison, Ethel; McComas, Francis; Baca-Flor, Carlos; Morgan, J. Pierpont",paintings; French literature; BG's social world; images of BG,"Mauretania; dislike of Ethel Harrison; McComas in love with BG; Colony Club; Louisville, Kentucky; grapefruit for BB; sending Tiffany writing paper; photographs from BB; Baca-Flor portraits of JPM, John Bigelow, Joseph Choate, and BG; Baudelaire's ""Le Balcon""; Lusitania (ship); Canada","Davis, Lauren",LD,2022/07/18,2022/07/18,"Palmer, Philip",PSP,2023/10/20,2023/10/20,2023/10/20,
60,12,1910_12_25,00106,"32044150448462_019, 32044150448462_020, 32044150448462_021, 32044150448462_022, 32044150448462_023, 32044150448462_024, 32044150448462_025, 32044150448462_026, 32044150448462_027, 32044150448462_028","Greene, Belle da Costa","Berenson, Bernard",BELLE,,,476-480,,15,10,"""Xmas 1910"" written by BB",,"Bernhardt, Sarah; Lydig, Rita de Acosta; Glaenzer, Eugene; Berenson, Senda; Morgan, J. Pierpont; Blumenthal, George; Mordkin, Mikhail; McComas, Francis; Pavlova, Anna; Annie (BG's childhood maid); Berenson, Mary; Sturgis, Frank K.; Lydig, Philip Mesier; Terry, Ellen; Harrison, Ethel",Italian art; literature; paintings; cultural institutions; dance; BG's social world; music,"Christmas; San Giminius legend; Dunsany (Edward Plunkett)'s ""The Madness of Andelsprutz"" and ""Where the Tides Ebb and Flow"" in Dreamer's Tales; Piero della Francesca; monographs of Italy trip with BB; feeling lost without Annie; Putnam's book as Chistmas gift from Senda to BG; Humperdinck's Königskinder; Tristan; Hansel and Gretel; Metropolitan Club; Russian ballet; Swan dance; Bacchante dance; dislike of Florence Blumenthal; Blumenthal's 12th c. enamel; JPM dislike of Rita; McComas's love for BG; Colony Club","Davis, Lauren",LD,2022/07/18,2022/07/19,"Palmer, Philip",PSP,2023/10/20,2023/10/26,2023/10/26,
60,12,1910_12_27,00107,"32044150448462_029, 32044150448462_030, 32044150448462_031","Greene, Belle da Costa","Berenson, Bernard",BELLE,,,481-483,,6,3,"""1910"" written by BB",,"Seligmann, Jacques; Imbert, Alexandre; Greene, Genevieve Ida Van Vliet Fleet; Seligmann, Arnold; Rey, Emile",Chinese art; Italian art; Byzantine art; British art; art dealing; BG's art collection; private collections,BG and Genevieve new dual apartments; interior decoration of BG's apartment; furniture and artwork; Customs trying to get Imbert,"Davis, Lauren",LD,2022/07/23,2022/07/23,"Palmer, Philip",PSP,2023/11/27,2023/11/27,2023/11/27,
60,12,1910_12_28,00108,"32044150448462_032, 32044150448462_033, 32044150448462_034, 32044150448462_035","Greene, Belle da Costa","Berenson, Bernard",BELLE,,,484-485,,6,4,"""1910"" written by BB",,"Annie (BG's childhood maid); Bernhardt, Sarah",cultural institutions; French literature; drama; BG's travel; race and ethnicity,Sarah Bernhardt's performance as Jacqueline Fleuriot in Alexandre Bisson's La Femme X; BG's grief over Annie's death; BG's love for/missing BB; BG recalling her trip to Italy with BB; BG's apartment renovations and decor,"Davis, Lauren",LD,2022/07/24,2022/07/24,"Palmer, Philip",PSP,2023/11/27,2023/11/27,2023/11/27,
60,12,1910_12_29,00109,"32044150448462_036, 32044150448462_037, 32044150448462_038, 32044150448462_039, 32044150448462_040, 32044150448462_041, 32044150448462_042, 32044150448462_043, 32044150448462_044, 32044150448462_045, 32044150448462_046","Greene, Belle da Costa","Berenson, Bernard",BELLE,,,486-496,,22,11,,,"McComas, Francis; Berenson, Mary; Forrest, Dick; Harrison, Ethel; Bernhardt, Sarah",cultural institutions; paintings; race and ethnicity; Italian art; BG's art collection; scholarship,"BG's joy in receiving BB's letters; Lusitania (ship); ship travel and postage; BB's ""sickness""; gossip and rumours about BG; BG's love for Sarah Bernhardt and the theater; BG's unrequited lover(s); BB's portrait in BG's apartment; BB's writing; photographs of BB's paintings; gifts of art from BB; John Otway Percy Bland, China Under the Empress Dowager (1910); letter from MB; BG's impatience with letterwriting; Racine, Phèdre; John Wesley De Kay, Judas","Davis, Lauren",LD,2022/07/24,2022/07/24,"Palmer, Philip",PSP,2023/11/28,2023/11/28,2023/11/28,
60,12,1910_12_30_01,00110,"32044150448462_047, 32044150448462_048","Greene, Belle da Costa","Berenson, Bernard",,"New York, NY",United States,497,,3,2,"""1910"" written by BB",BG refers to enclosed sheets of blank writing paper (no longer present),N/A,N/A,sending BB writing paper and asking if he wants it stamped,"Davis, Lauren",LD,2022/07/27,2022/07/27,"Palmer, Philip ",PSP,2023/10/11,2023/10/11,2023/10/11,
60,12,1910_12_30_02,00111,32044150448462_049,"Greene, Belle da Costa","Berenson, Bernard","Library of J. Pierpont Morgan, Esq. / Thirty-three East Thirty-sixth Street / New York","New York, NY",United States,498,,1,1,"""1910"" written by BB",Originally included some words from Marie to BG,Marie,N/A,fourth letter to BB in one week; asking Marie to come back,"Davis, Lauren",LD,2022/07/27,2022/07/27,"Palmer, Philip ",PSP,2024/01/02,2024/01/02,2024/01/02,
60,12,1910_12_31,00112,"32044150448462_050, 32044150448462_051, 32044150448462_052, 32044150448462_053, 32044150448462_054, 32044150448462_055, 32044150448462_056, 32044150448462_057, 32044150448462_058, 32044150448462_059","Greene, Belle da Costa","Berenson, Bernard",BELLE,,,499-503,,15,10,,,"Berenson, Senda; Scott, Geoffrey; Berenson, Mary; Seligmann, Arnold; Seligmann, Jacques; Morgan, J. Pierpont; Cadwalader, John Lambert",Italian literature; French literature; British literature; acquisitions; Byzantine art; private collections,"New Year's; party at Cadwalader's; love for and friendship with BB; Cicero's Laelius de Amicitia quotation; Michel de Montaigne's ""On Friendship"" quotation; Matthew Arnold's ""To Marguerite"" quotation; BB illness; Mary's ""suicide"" club; hopes for BB's sister to visit; JPM's acquisition of a Byzantine enamels collection in St. Petersburg; JPM going to Egypt; planning to visit BB August-September","Davis, Lauren",LD,2022/07/27,2022/07/27,"Palmer, Philip ",PSP,2024/01/02,2024/01/02,2024/01/02,
60,12,1911_01_01,00113,"32044150448462_060, 32044150448462_061","Greene, Belle da Costa","Berenson, Bernard",n/a,"New York, NY",United States,504,,1,2,"telegram; ""1910"" / ""Dec."" written by BB",,N/A,N/A,sending love for the new year,"Davis, Lauren",LD,2022/07/27,2022/07/27,"Palmer, Philip ",PSP,2024/01/02,2024/01/02,2024/01/02,
60,13,1910_11_29_30,00114,"32044150448470_001, 32044150448470_002, 32044150448470_003, 32044150448470_004, 32044150448470_005, 32044150448470_006, 32044150448470_007, 32044150448470_008","Greene, Belle da Costa","Berenson, Mary",BELLE,,,n/a,,16,8,"""1900"" written by BB, but crossed out in pencil and ""1910"" added underneath (also in pencil)",,"Perkins, Irene Vavasour Elder; Rey, Emile; Berenson, Bernard; Cutting, Lady Sybil; Morgan, J. Pierpont; Hapgood, Emile Bigelow; Winter, William; Bigelow, Poutlney; Duveen, Henry; Van Rensselaer, Mariana Alley Griswold; Kennedy, Charles Rann; Mackaye, Percy; Scott, Geoffrey; Field, Isobel Stewart Osbourne Strong ; Herford, Oliver; Seligmann, Jacques; Seligmann, Arnold; Blumenthal, George; Loeb, William, Jr.; Blumenthal, Florence Meyer; Glaenzer, Eugene",paintings; Italian art; art dealing; current events; private collections,"quoting BB's letter describing his return to Villa I Tatti; BB's illness; Irene Perkins's knowledge of Italian art; Duveen in danger of imprisonment; BG's ""Bowery-Chorus girl lingo""; Van Rensselaer's house tour; awkward dinner discussion of Hapgood at Winter's house","Davis, Lauren",LD,2022/07/27,2022/07/27,"Palmer, Philip ",PSP,2024/01/03,2024/01/03,2024/01/03,
60,14,1911_01_03,00115,"32044150448488_001, 32044150448488_002, 32044150448488_003, 32044150448488_004, 32044150448488_005, 32044150448488_006, 32044150448488_007, 32044150448488_008, 32044150448488_009, 32044150448488_010, 32044150448488_011, 32044150448488_012","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,505-515,,22,12,"""1911"" written by BB; images and I Tatti sheet numbers out of order; the first two sheets of this letter are written on thin paper; the first two-and-a-half pages are written in the hand of Ethel Grant, as identified by Belle Greene on pp. 4–5",,"Field, Isobel Stewart; Osbourne Strong?; Harrison, Ethel; Grant, Ethel; Ripley, Mary Baldwin Hyde; Morgan, J. Pierpont; Placci, Carlo; Ditson, Alice M.; Grant, Ethel; Jaccaci, August; La Farge, John; Barnes, Grace Edith; Blumenthal, Florence Meyer; Lydig, Rita de Acosta; Berenson, Mary",music; cultural institutions; acquisitions; language learning; BG's social world; French literature,"BG and Ethel Grant scheming to entertain Ethel Harrison with opera and theatre; Ripley asking BG about ""mysterious"" woman BB loves; Cesena Library (now the Malatestiana Library); hiding romantic relationship with BB from JPM; desire for BB and JPM to be great friends; BG as JPM's ""property""; French lesson at 8 a.m.; Philharmonic; La Farge left everything to Barnes; BG and Grant scheming to entertain Harrison with ""two male love makers""; Charles Baudelaire's ""Le Balcon""","Davis, Lauren",LD,2022/07/28,2022/07/28,"Palmer, Philip ",PSP,2024/01/04,2024/01/04,2024/01/04,
60,14,1911_01_06 (first letter),00116,"32044150448488_023, 32044150448488_024, 32044150448488_025, 32044150448488_026, 32044150448488_027, 32044150448488_028, 32044150448488_029, 32044150448488_030","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,524-531,,16,8,"""1911"" written in pencil (not in BB's hand)",,"Bobrinsky, Alexey Alexeyevich, Count; Berenson, Mary; Morgan, J. Pierpont; Perkins, Frederick Mason",acquisitions; Chinese art; Persian art; drawings; decorative arts; Italian literature; BG's art collection; private collections,"BG writes that she keeps BB's letters; says she doesn't care who sees their correspondence; Umbrian Catalogue; Han pottery; salary raised $2000/yr on Christmas (possibly just a yearly Christmas bonus); spent salary on two jars; planning for BB to live in BG's apartment with her; desire to sell mezzotints to buy a Sasanian animal aquamanile; JPM leaving for Egypt next Wednesday; tells BB to give JPM Cesena book in person; JPM not wanting to buy anything because of Customs House matter; BG's ""Siena letter"" to JPM ""most interesting letter he had ever received from a woman""; asking for three cabinet-sized photographs of BB for dressing table","Davis, Lauren",LD,2022/07/28,2022/07/28,"Palmer, Philip ",PSP,2024/01/05,2024/01/05,2024/01/05,
60,14,1911_01_06 (second letter),00117,"32044150448488_013, 32044150448488_014","Greene, Belle da Costa","Berenson, Bernard",Mr. Morgan's Library / New York,"New York, NY",United States,516,,3,2,"""1911"" written by BB",,"Thompson, Henry Yates",Italian art; music; Medieval and Renaissance manuscripts; early printed books,"sending to BB photographs of various artworks at the Library; sending ""photographs of bronze doors to the library,"" which BG wonders could have been made by Lorenzo Ghiberti; illuminated frontispiece to an incunable of St. Augustine's De civitate dei, printed by Nicholas Jenson (PML 310), which reminds her of the illuminated copy of Aristotle's Opera (PML 21194–21195) then owned by Henry Yates Thompson (acquired by the Morgan in 1919); antiphonarium pages; Girolamo da Cremona; photograph of a work by Raphael","Davis, Lauren",LD,2022/07/31,2022/07/31,"Palmer, Philip ",PSP,2024/01/07,2024/01/07,2024/01/07,
60,14,1911_01_11,00118,"32044150448488_020, 32044150448488_021, 32044150448488_022","Greene, Belle da Costa","Berenson, Bernard",n/a,,,522-523,,5,3,"""1911"" written by BB. Images out of order; pp. 3 has no I Tatti sheet number. In 1911, January 11 fell on a Wednesday, so BG either has the day of the week wrong or BB is incorrect about the year",,"Ames, Winthrop; Kahn, Otto Hermann; Huntington, Archer Milton; Tyler, George C. ; Morgan, J. Pierpont",cultural institutions; drama,BG sending Tiffany & Co. paper to BB; meeting about reviving the New Theatre acting company; election of new leader of the New Theatre,"Davis, Lauren",LD,2022/07/31,2022/07/31,"Palmer, Philip ",PSP,2024/01/07,2024/01/07,2024/01/07,
60,14,1911_01_13,00119,"32044150448488_015, 32044150448488_016, 32044150448488_017, 32044150448488_018, 32044150448488_019","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,517-521,,7,5,"""Jan. 13, 1911"" written by BB. Images and I Tatti sheet numbers out of order",,"Harrison, Ethel; Bispham, David; Morgan, J. Pierpont; Pollock, Francis Lillie",cultural institutions; drama; BG's social world; music; French literature; Italian art,"Lusitania (ship); BG's annoyance with Harrison; going to Vanity Fair at New Theatre with Harrison, Bispham, and Pollock; wishing BB to get well; remembering a night they shared in Munich; Charles Baudelaire; Piero della Francesca; Sarcello, Vicenza, Italy","Davis, Lauren",LD,2022/07/31,2022/07/31,"Palmer, Philip ",PSP,2024/01/07,2024/01/07,2024/01/07,
